name,slug,url
"Resume tools Resume tools help you craft CVs, audit profiles, gauge pay, and prep interviews. They suit job seekers needing ATS-ready resumes, salary insight, and practice.",resumes,https://www.producthunt.com/categories/resumes
"Scheduling software Scheduling software organizes appointments and time slots, syncing calendars, auto-creating events from messages, and coordinating teams, desks, and broadcasts.",scheduling,https://www.producthunt.com/categories/scheduling
"Screenshots and screen recording apps Capture what’s on your screen, record walkthroughs, and turn clicks into shareable visuals. Ideal for tutorials, bug reports, async feedback, and polished product demos.",screenshots-and-screen-recording,https://www.producthunt.com/categories/screenshots-and-screen-recording
"Security software Security and privacy tools that protect apps, data, and access. This category spans threat detection, pentesting, monitoring, passwordless login, and PII vaults for teams and users.",security-software,https://www.producthunt.com/categories/security-software
"Spreadsheets Spreadsheets are data grids for organizing, analyzing, and sharing numbers. This category spans tools for planning, reporting, apps, calculators, and teamwork.",spreadsheets,https://www.producthunt.com/categories/spreadsheets
"Time tracking apps Time tracking apps log work hours, focus, and tool use to reveal where time goes. Great for freelancers, teams, and HR to plan, bill, budget, and improve habits.",time-tracking,https://www.producthunt.com/categories/time-tracking
"Video conferencing Video conferencing tools power virtual meetings, interviews, classes, and team syncs—record, transcribe, translate, co-create, or build custom live apps for remote work.",video-conferencing,https://www.producthunt.com/categories/video-conferencing
"Virtual office platforms Virtual office platforms unite tools for remote teamwork: coworking, meetings, scheduling, desk booking, knowledge sharing, and tracking, helping teams focus and collaborate.",virtual-office,https://www.producthunt.com/categories/virtual-office
"Web browsers Web browsers let you access and interact with websites and web apps. This category spans general use, privacy-focused multi-accounting, coding online, automation, and extensions.",web-browsers,https://www.producthunt.com/categories/web-browsers
"Writing assistants Writing assistants help you draft, translate, summarize, and refine text. They turn audio or video into clean copy, boost research workflows, and protect privacy.",writing-assistants,https://www.producthunt.com/categories/writing-assistants
"A/B testing tools A/B testing tools run controlled experiments—split tests—to compare features, paywalls, emails, or UX. They use flags, analytics, and metrics to guide product and growth decisions.",a-b-testing,https://www.producthunt.com/categories/a-b-testing
"AI Code Testing AI Code Testing tools automatically review, analyze, and validate code for errors or vulnerabilities. They improve code quality by catching issues earlier in the development process.",ai-code-testing,https://www.producthunt.com/categories/ai-code-testing
"AI Databases AI databases store vectors and analytics data for fast search, chat, and reports. They power embeddings, real-time queries, and scalable GenAI for devs and teams.",ai-databases,https://www.producthunt.com/categories/ai-databases
"Authentication & identity tools Authentication & identity tools verify users, manage logins, and protect access. They power sign-ups, memberships, biometrics, and secure sessions for apps and sites.",authentication-identity,https://www.producthunt.com/categories/authentication-identity
"Automation tools Automation tools centralize tasks, cut manual steps, and speed delivery. From code, docs, and CI to data entry blockers like CAPTCHAs, they boost dev and ops.",automation,https://www.producthunt.com/categories/automation
Browser Automation Headless browsers and other tools for automating workflows with browsers,browser-automation,https://www.producthunt.com/categories/browser-automation
"Cloud Computing Platforms Cloud computing platforms host and scale apps on remote infrastructure. Expect managed databases, serverless runtimes, auth, CI/CD, and edge delivery for developers and teams.",cloud-computing-platforms,https://www.producthunt.com/categories/cloud-computing-platforms
"Code editors Code editors, sometimes called IDEs, are software tools that developers use to write, edit, and manage source code for software development projects. These editors provide an environment where developers can write code efficiently, debug errors, and navigate through their codebase easily.",code-editors,https://www.producthunt.com/categories/code-editors
"Command line tools Command line tools let you run code, build apps, and automate tasks from your terminal. These picks suit developers building web, mobile, cloud, and CI workflows.",command-line-tools,https://www.producthunt.com/categories/command-line-tools
"Databases and backend frameworks Tools for storing data and powering server logic. This mix includes databases, API frameworks, and hosting platforms used to build, secure, and scale apps.",databases-and-backend,https://www.producthunt.com/categories/databases-and-backend
"Git clients Git clients allow developers to interact with Git, a popular version control system used for tracking changes in code repositories.",git-clients,https://www.producthunt.com/categories/git-clients
"Headless CMS software Headless CMS tools store content separately and deliver it via APIs to sites, apps, and docs. They power multi-channel publishing, collaboration, and developer workflows.",headless-cms,https://www.producthunt.com/categories/headless-cms
"Issue tracking software Issue tracking software is used by teams and organizations to manage and track the progress of various issues, tasks, bugs, or tickets throughout their lifecycle. It provides a centralized platform for logging, assigning, and resolving issues, ensuring effective collaboration and timely resolution.",issue-tracking-software,https://www.producthunt.com/categories/issue-tracking-software
"Membership software Membership software powers gated access, payments, and user management for apps, sites, and communities—ideal for SaaS, creators, and no-code builders.",membership,https://www.producthunt.com/categories/membership
"Observability tools Tools for observability, incident response, and AI-driven automation. They track metrics, replay issues, guard releases, flag features, and run agents at scale.",observability-tools,https://www.producthunt.com/categories/observability-tools
"Predictive AI Predictive AI tools analyze patterns to forecast outcomes. This category unites language models, fast inference, search, and analytics for research, trading, and marketing.",predictive-ai,https://www.producthunt.com/categories/predictive-ai
Real-time collaboration infra Developer infrastructure for enabling real-time collaboration in applications,real-time-collaboration-infra,https://www.producthunt.com/categories/real-time-collaboration-infra
Standup bots Standup bots are used to facilitate daily stand-up meetings in agile or remote teams. These bots typically integrate with messaging platforms such as Slack or Microsoft Teams and provide a structured format for team members to share their updates and progress.,standup-bots,https://www.producthunt.com/categories/standup-bots
"Terminals Terminals are apps that run command-line tools. This category groups modern emulators and AI copilots for coding, server ops, SSH, and automation across macOS, Windows, and Linux.",terminals,https://www.producthunt.com/categories/terminals
"Testing and QA software Testing and QA software verifies code quality end to end: automate builds, run tests, monitor errors, triage bugs, test APIs, and simulate browsers for reliable releases.",testing-and-qa,https://www.producthunt.com/categories/testing-and-qa
"Unified API Unified API tools centralize auth, data, and AI services so apps talk to one layer. Build faster with shared schemas, serverless backends, and cross‑platform workflows.",unified-api,https://www.producthunt.com/categories/unified-api
"VPN client VPN clients establish secure and encrypted connections to remote servers, allowing users to browse the internet privately, access restricted content, and enhance their online security.",vpn-client,https://www.producthunt.com/categories/vpn-client
"Video hosting platforms Video hosting platforms store, stream, and manage videos at scale. Tools here handle creation, editing, delivery, analytics, and sharing for teams, devs, and marketers.",video-hosting,https://www.producthunt.com/categories/video-hosting
Web hosting services Web hosting platforms provide the infrastructure and services needed to make your website accessible on the internet. These platforms offer various hosting plans and features to accommodate different types of websites and online projects.,web-hosting,https://www.producthunt.com/categories/web-hosting
"Website analytics Website analytics tracks how people find, use, and convert on sites and apps. Tools here measure events, sessions, funnels, and performance for teams and privacy needs.",website-analytics,https://www.producthunt.com/categories/website-analytics
"Website builders Website builders enable users to create websites without the need for coding or technical expertise. These builders typically provide a user-friendly interface and pre-designed templates, allowing individuals or businesses to create and customize their websites quickly and easily.",website-builders,https://www.producthunt.com/categories/website-builders
"3D & Animation Explore tools for creating and animating 3D scenes, motion graphics, and VR. Build models, rig, render, and design interactive visuals for apps, games, and web.",3d-animation,https://www.producthunt.com/categories/3d-animation
"AI Characters Explore AI-driven characters that talk, teach, coach, and perform. Tools here simulate people for roleplay, content, tutoring, and community hosting across media.",ai-characters,https://www.producthunt.com/categories/ai-characters
"AI Headshot Generators AI headshot and portrait tools that generate, edit, and swap faces for profiles, marketing, and social posts. Create realistic looks, styles, and scenes fast.",ai-headshot-generators,https://www.producthunt.com/categories/ai-headshot-generators
"Avatar generators AI avatar generators use advanced algorithms to create personalized digital avatars based on user input. These generators offer customization options for facial features, hairstyles, clothing, and accessories.",avatar-generators,https://www.producthunt.com/categories/avatar-generators
"Background removal tools Background removal tools help you easily remove the background from an image. They use advanced algorithms to separate the subject from the background, allowing you to create professional-looking images with transparent backgrounds.",background-removal,https://www.producthunt.com/categories/background-removal
"Camera apps Camera apps offer additional features and controls beyond the default camera app provided by the device manufacturer. They often provide manual settings, advanced shooting modes, filters, editing tools, and various creative options to capture and enhance your photos and videos.",camera-apps,https://www.producthunt.com/categories/camera-apps
"Design inspiration websites Get inspired by these website that curate the fantastic work that designers are doing across the world. And then, probably just copy Linear.",design-inspiration,https://www.producthunt.com/categories/design-inspiration
Design mockups Everyone knows that designs look cooler when wrapped in a nice phone or desktop UI. Check out these resources for presenting your designs in the context that they'll be used.,design-mockups,https://www.producthunt.com/categories/design-mockups
"Digital whiteboards Digital whiteboards are interactive software applications or devices that simulate the experience of a physical whiteboard in a digital format. They allow users to create, draw, write, and collaborate on a virtual canvas using various tools and features.",digital-whiteboards,https://www.producthunt.com/categories/digital-whiteboards
"Icon sets Icon sets are collections of icons that are designed to be used in various digital projects, such as websites, mobile apps, presentations, and graphic design projects.",icon-sets,https://www.producthunt.com/categories/icon-sets
"Interface design tools These tools are essential for designers, developers, and product teams to streamline the process of designing, prototyping, and iterating on interfaces for websites, mobile applications, software applications, and other digital platforms.",interface-design-tools,https://www.producthunt.com/categories/interface-design-tools
"Mobile editing apps Mobile editing apps are like your portable photo editing studios, empowering you to enhance and transform your photos directly from your mobile device. These apps offer a range of powerful editing tools and features to bring out the best in your images.",mobile-editing,https://www.producthunt.com/categories/mobile-editing
"Music Generation Music Generation tools use AI to compose original tracks or soundscapes. They help creators quickly produce background music, jingles, or experimental compositions.",music-generation,https://www.producthunt.com/categories/music-generation
"Photo editing You took the perfect photo...but it's not quite *perfect*. You need something to crop, filter, adjust, pop those highlights, drop those shadows and bump the saturation just a bit. Try one of these photo editing apps on for size.",photo-editing,https://www.producthunt.com/categories/photo-editing
"Podcasting Tools Podcasting tools help you create, host, voice, edit, and share spoken shows. Expect AI voices, transcription, social discovery, analytics, and bite-size audio for learners.",podcasting,https://www.producthunt.com/categories/podcasting
"Social audio apps These apps provide platforms for hosting or participating in audio-based discussions, podcasts, interviews, and interactive sessions.",social-audio,https://www.producthunt.com/categories/social-audio
"Space design apps Space design apps help plan rooms and workplaces using 3D, AR, and AI. They map spaces, test layouts, pick furniture, and support hybrid offices and home makeovers.",space-design,https://www.producthunt.com/categories/space-design
"Stock photo sites Stock photo sites are platforms that offer a wide range of professional photographs, graphics, and illustrations that can be licensed for various purposes. These sites provide a vast library of high-quality images that can be used in creative projects, websites, blogs, advertisements, and more.",stock-photo-sites,https://www.producthunt.com/categories/stock-photo-sites
UI frameworks UI frameworks are like design shortcuts for developers and designers. They provide pre-built components and styles that make it easy to design and create beautiful and responsive user interfaces.,ui-frameworks,https://www.producthunt.com/categories/ui-frameworks
"User research User research tools centralize customer feedback, surveys, and usage insights to guide product decisions. Ideal for PMs and designers shaping features, UX, and roadmaps.",user-research,https://www.producthunt.com/categories/user-research
"Wallpapers Wallpapers curate visual backdrops for phones, desktops, and watches—auto-rotating art, AI-made scenes, themed patterns, and minimalist looks for focus lovers and customizers.",wallpapers,https://www.producthunt.com/categories/wallpapers
"Wireframing Wireframing tools map screen layouts and flows before coding. They unify UI ideas, enable quick prototyping, and suit founders, PMs, analysts, and devs testing UX.",wireframing,https://www.producthunt.com/categories/wireframing
"Budgeting apps Budgeting apps centralize accounts, categorize spending, and forecast cash flow. Great for individuals and teams tracking expenses, plans, subscriptions, and goals.",budgeting-and-expense-tracking,https://www.producthunt.com/categories/budgeting-and-expense-tracking
"Credit score tools Credit score tools track and build credit using spending, on-time payments, and alternative data like rent. Great for rewards maximizers, borrowers, and future homebuyers.",credit-scores,https://www.producthunt.com/categories/credit-scores
"Financial planning Tools that plan, track, and optimize money decisions—budgets, investing, taxes, and estates. Built for startups, investors, and families seeking data-driven clarity.",financial-planning,https://www.producthunt.com/categories/financial-planning
"Invoicing tools These tools provide efficient and streamlined solutions for generating professional invoices, tracking payments, and managing billing processes.",invoicing-tools,https://www.producthunt.com/categories/invoicing-tools
"Money transfer Money transfer tools move funds between people, apps, and banks—across fiat and crypto. Expect fast payouts, global reach, self-custody options, and low-fee remittance.",money-transfer,https://www.producthunt.com/categories/money-transfer
"Neobanks Neobanks are modern financial institutions that operate entirely online, providing digital banking services without the need for physical branches. These banks leverage technology and innovative approaches to offer a range of banking services through mobile apps or web platforms.",neobanks,https://www.producthunt.com/categories/neobanks
"Online banking Online banking covers apps that move, track, and safeguard money online—personal budgets, business cash accounts, cross‑border payouts, KYC/AML, and account linking.",online-banking,https://www.producthunt.com/categories/online-banking
"Payroll software These software solutions offer a range of features to help businesses efficiently handle payroll calculations, tax deductions, and employee payment processes.",payroll,https://www.producthunt.com/categories/payroll
"Remote workforce tools As remote work grew, a new category of services developed to help support the challenges of managing a remote workforce.",remote-workforce,https://www.producthunt.com/categories/remote-workforce
"Retirement planning Retirement planning tools help you map cash flow, track investments, test scenarios, and optimize taxes so you can build future financial security with confidence.",retirement-planning,https://www.producthunt.com/categories/retirement-planning
"Savings apps Savings apps help you keep more money—by auto-finding coupons, tracking goals, cutting cloud and SaaS costs, earning yield, and reducing travel and trading fees.",savings-apps,https://www.producthunt.com/categories/savings-apps
"Startup financial planning Startup financial planning tools help founders budget, model revenue, track burn and runway, manage equity, stay compliant, and prep fundraising—all in one place.",startup-financial-planning,https://www.producthunt.com/categories/startup-financial-planning
"Startup incorporation Startup ops tools that form companies, handle legal, compliance, banking, bookkeeping, mail, and secure docs—ideal for founders launching fast and staying audit-ready.",startup-incorporation,https://www.producthunt.com/categories/startup-incorporation
"Stock trading platforms Stock trading platforms centralize tools for buying, analyzing, and discussing markets. Expect real-time data, social sharing, signals, journaling, and AI help.",stock-trading,https://www.producthunt.com/categories/stock-trading
"Tax preparation Tools that help file income taxes: from automated bookkeeping and receipt capture to expert advice and payroll links. Ideal for founders, freelancers, and SMBs.",tax-preparation,https://www.producthunt.com/categories/tax-preparation
"Treasury management platforms Fintech platforms that power modern money management. This category spans startup banking, spend control, ledgers, escrow, token launches, and crypto portfolios—built for founders, finance teams, and investors seeking safe, scalable, software-driven finance.",treasury-management-platforms,https://www.producthunt.com/categories/treasury-management-platforms
"AI Content Detection Tools that turn audio, images, and data into clear, optimized content. Expect AI writing, SEO gap fixes, social replies, carousels, and nutrition from photos.",ai-content-detection,https://www.producthunt.com/categories/ai-content-detection
"Blogging platforms Blogging platforms are online publishing tools, providing you with the means to create, manage, and publish your blog content. These platforms offer a range of features to help you write, design, and share your thoughts and ideas with the world.",blogging-platforms,https://www.producthunt.com/categories/blogging-platforms
"Dating apps Discover tools that help strangers meet, chat, and bond—whether for dates, community, or pen-pal vibes. Expect matchmaking, voice-first dates, and profile polish.",dating-apps,https://www.producthunt.com/categories/dating-apps
"Link in bio tools As the bio section on platforms like Instagram has limited space for clickable links, users often use a ""link in bio"" to overcome this limitation and provide a convenient way for their audience to access additional content or external websites.",link-in-bio,https://www.producthunt.com/categories/link-in-bio
"Live streaming platforms Live streaming platforms enable real-time broadcasting and online video transmission. Tools here power multi-channel streams, 24/7 loops, co-hosting, chat, and monetization for creators, brands, and communities.",live-streaming,https://www.producthunt.com/categories/live-streaming
"Messaging apps Messaging apps group tools for real‑time chat, calls, and collaboration. Use them to message teams, support customers, run campaigns, or stay social across devices.",messaging-apps,https://www.producthunt.com/categories/messaging-apps
"Microblogging platforms Microblogging is a form of blogging that involves sharing short and concise posts or updates with a limited number of characters. It allows users to express their thoughts, share information, and engage with others in a quick and succinct manner.",microblogging,https://www.producthunt.com/categories/microblogging
"Newsletter platforms Newsletter platforms are digital publishing tools, specifically designed to help you create, manage, and distribute newsletters to your subscribers. These platforms offer a range of features to simplify the process of creating and delivering engaging newsletters.",newsletter-platforms,https://www.producthunt.com/categories/newsletter-platforms
"Photo sharing Discover tools to capture, organize, and share visuals—from photos and screenshots to posts. Ideal for creators, teams, and fans seeking inspiration or portfolios.",photo-sharing,https://www.producthunt.com/categories/photo-sharing
"Safety and Privacy platforms Tools that guard data and identities: privacy-first analytics, ad-free search, secure sharing, multi-account browsers, and email deliverability protection.",safety-and-privacy,https://www.producthunt.com/categories/safety-and-privacy
"Social bookmarking Social bookmarking gathers and organizes web links to save, tag, and share. Great for researchers, marketers, and curious browsers discovering, curating, and collaborating.",social-bookmarking,https://www.producthunt.com/categories/social-bookmarking
"Video and Voice calling Video and Voice calling tools enable real-time chats, meetings, and support. Expect screen sharing, translation, team collaboration, SDKs, and pet check-ins.",video-and-voice-calling,https://www.producthunt.com/categories/video-and-voice-calling
"AI sales tools AI sales and outreach tools that find, research, and qualify leads, personalize messages, and automate follow-ups. Built for B2B teams to scale pipeline 24/7.",ai-sales-tools,https://www.producthunt.com/categories/ai-sales-tools
"Advertising tools Advertising tools help plan, run, and measure campaigns. Expect AI analytics, ad managers, creator booking, tracking, and community gamification for growth.",advertising-tools,https://www.producthunt.com/categories/advertising-tools
"Affiliate marketing Affiliate marketing connects creators and brands via referral-based advertising. Tools here build content, track links, craft landing pages, and run partner programs for bloggers, SaaS, and DTC brands.",affiliate-marketing,https://www.producthunt.com/categories/affiliate-marketing
"CRM software CRM software centralizes contacts, conversations, and deal data. Expect tools for sales, support, and analytics—email sync, data unification, workflows, and outreach.",crm,https://www.producthunt.com/categories/crm
"Customer loyalty platforms Customer loyalty platforms help brands retain customers via referrals, reviews, subscriptions, rewards, and personalized experiences—boosting repeat buys and advocacy.",customer-loyalty,https://www.producthunt.com/categories/customer-loyalty
Email marketing These platforms offer a range of features and functionalities to help businesses effectively engage with their audience through targeted email communication.,email-marketing,https://www.producthunt.com/categories/email-marketing
"GEO Tools Geo (Generative Engine Optimization) Tools help marketers optimize content for discovery in AI-powered search and generative engines. They provide insights and workflows for improving visibility, relevance, and performance in generative search results.",geo-tools,https://www.producthunt.com/categories/geo-tools
"Influencer marketing platforms Influencer marketing tools are software platforms or solutions that assist businesses in managing and optimizing their influencer marketing campaigns. These tools provide features and functionalities to help identify, connect with, and collaborate with influencers for promotional activities.",influencer-marketing,https://www.producthunt.com/categories/influencer-marketing
"Keyword research tools These tools provide valuable insights into search volume, competition, and related keywords, helping website owners and marketers optimize their online content for better search engine rankings.",keyword-research,https://www.producthunt.com/categories/keyword-research
"Landing page builders These tools provide a user-friendly interface and a range of templates, customization options, and features to build high-converting landing pages without the need for coding or design skills.",landing-page-builders,https://www.producthunt.com/categories/landing-page-builders
"SEO tools SEO tools are software or online platforms that assist website owners, marketers, and SEO professionals in optimizing their websites for better search engine rankings and visibility. These tools provide a range of features and functionalities to analyze, monitor, and improve various aspects of SEO.",seo-tools,https://www.producthunt.com/categories/seo-tools
"Sales enablement AI sales and marketing tools that automate outreach, lead nurturing, and conversion. Expect workflow builders, conversation agents, live site engagement, and practice tools for founders.",sales-enablement,https://www.producthunt.com/categories/sales-enablement
"Sales training Sales training tools that teach modern selling: AI coaching, demo creation, role-play, and pipeline planning. Built for reps, founders, and teams to win more deals.",sales-training,https://www.producthunt.com/categories/sales-training
"Social media management tools These software solutions offer a range of features to streamline social media activities, including content creation, scheduling, publishing, monitoring, and analytics.",social-media-management,https://www.producthunt.com/categories/social-media-management
Social media scheduling tools These tools allow users to schedule posts for specific dates and times across multiple social media platforms. This feature enables businesses to maintain a consistent posting schedule and reach their audience at optimal times.,social-media-scheduling,https://www.producthunt.com/categories/social-media-scheduling
"Survey and form builders Survey builder software is a tool or platform that enables individuals and organizations to create, distribute, and analyze surveys to gather valuable feedback and data.",survey-and-form-builders,https://www.producthunt.com/categories/survey-and-form-builders
"Activity tracking Activity tracking logs workouts, habits, sleep, and time to reveal patterns. Compare progress, build routines, and stay accountable—ideal for fitness, focus, and recovery.",activity-tracking,https://www.producthunt.com/categories/activity-tracking
Camping apps Find the perfect place to camp.,camping-apps,https://www.producthunt.com/categories/camping-apps
"Health Insurance Health insurance covers medical costs and care access. This mix spans virtual clinics, bill tools, telehealth, and global plans—ideal for travelers, workers, and families.",health-insurance,https://www.producthunt.com/categories/health-insurance
"Hiking apps Hiking apps are like your personal trail companions, helping you plan, navigate, and enhance your hiking adventures. These apps provide a range of features to assist you in finding trails, tracking your progress, and discovering new hiking routes.",hiking-apps,https://www.producthunt.com/categories/hiking-apps
"Medical Medical tools that guide care: skin risk checks, reproductive tracking, gut and eye support, caregiving aids, and AI doctor consults—practical help for everyday health.",medical,https://www.producthunt.com/categories/medical
"Meditation apps Meditation apps gather tools for mindfulness: guided sessions, nature soundscapes, focus music, journaling, and AI coaching. Great for stress relief and better sleep.",meditation,https://www.producthunt.com/categories/meditation
"Mental Health Tools that support mental and emotional health, from focus and habit aids to journaling, coaching, telehealth, and calming audio—built to reduce stress and improve daily life.",mental-health,https://www.producthunt.com/categories/mental-health
"Senior care Senior care tools that support aging at home: safety monitoring, medication cooling, caregiver hiring, compliance software, chair exercises, and legacy messaging.",senior-care,https://www.producthunt.com/categories/senior-care
"Sleep apps Sleep apps are like your personal sleep assistants, helping you improve your sleep quality and establish healthier sleep habits. These apps offer a range of features and tools to help you relax, track your sleep patterns, and wake up feeling refreshed.",sleep,https://www.producthunt.com/categories/sleep
"Therapy apps Therapy apps offer guided journaling, coaching, and mindset tools to manage ADHD, men’s wellness, pregnancy, and emotions—self-help you can use daily, anywhere.",therapy-apps,https://www.producthunt.com/categories/therapy-apps
"Workout platforms Workout platforms are apps and tools that plan, track, or coach your training across strength, cardio, and classes—ideal for busy users needing structure, data, and motivation",workout-platforms,https://www.producthunt.com/categories/workout-platforms
"Flight booking apps Flight booking apps help you search, compare, and book air travel. They find cheap fares, award seats, multi-city routes, and flexible dates for trip planners and deal hunters.",flight-booking,https://www.producthunt.com/categories/flight-booking
Hotel booking app Services that help you find the perfect place to stay.,hotel-booking,https://www.producthunt.com/categories/hotel-booking
